from,to,references
1341606917,1263639526,1
1263639526,1263639526,35
1219611042,1263639526,1
1304292577,1263639526,6
1795647281,1263639526,5
1653461526,1263639526,1
1156849919,1263639526,1
1416256514,1263639526,26
1357169825,1263639526,1
1177375464,1263639526,1
1733306194,1263639526,2
1204478666,1263639526,3
1208345666,1263639526,1
1499804747,1263639526,3
1557905753,1263639526,2
1586752346,1263639526,1
1753558976,1263639526,1
1213261506,1263639526,1
1282230758,1220016457,10
1477576373,1220016457,3
1264382608,1220016457,1
1306042330,1220016457,13
1879356591,1220016457,1
1428280639,1220016457,4
1879031023,1220016457,1
1646496672,1220016457,1
1418544500,1220016457,22
1455227024,1220016457,4
1178989752,1220016457,2
1271263845,1220016457,1
1412296785,1220016457,1
1892234482,1220016457,2
1570117008,1220016457,5
1530205157,1220016457,1
1576082206,1220016457,1
1840462354,1220016457,15
1635263668,1220016457,1
1876506652,1220016457,1
1841371008,1220016457,1
1701929005,1220016457,1
1859174274,1220016457,1
1263639526,1220016457,2
1381055875,1220016457,7
1768463917,1220016457,1
1451350009,1220016457,13
1700898276,1220016457,1
1255298207,1220016457,1
1610133347,1220016457,2
1528501977,1220016457,1
1795647281,1770368188,3
1474612540,1770368188,1
1586752346,1770368188,1
1234828118,1770368188,4
1744853182,1770368188,2
1303835387,1770368188,6
1405060224,1770368188,18
1758294908,1770368188,9
1261210178,1770368188,1
1700898276,1770368188,1
1680851892,1770368188,1
1178989752,1770368188,9
1315055327,1770368188,1
1808774006,1770368188,1
1841371008,1770368188,16
1527646630,1770368188,1
1545484435,1770368188,4
1213468001,1770368188,1
1866084519,1770368188,1
1326329344,1770368188,4
1292472394,1770368188,1
1288641123,1770368188,2
1540282753,1770368188,1
1646496672,1770368188,5
1210281533,1770368188,1
1586155085,1770368188,1
1739839710,1770368188,2
1212306649,1770368188,2
1369081421,1770368188,9
1814477406,1770368188,1
1753786697,1770368188,1
1677722011,1770368188,2
1769209859,1770368188,3
1753825912,1770368188,1
1478154831,1770368188,28
1528334096,1770368188,1
1606614250,1770368188,1
1528501977,1770368188,1
1630778587,1770368188,1
1325874717,1770368188,1
1357243305,1770368188,1
1789593665,1770368188,3
1381514061,1770368188,1
1531569003,1770368188,2
1696536630,1770368188,1
1828897862,1770368188,1
1680600034,1770368188,1
1413903316,1770368188,3
1575018759,1770368188,1
1434188731,1770368188,1
1357939367,1770368188,1
1885056745,1770368188,1
1455051484,1770368188,1
1159468619,1770368188,1
1496195662,1770368188,4
1407900759,1770368188,1
1660853432,1770368188,2
1728630568,1770368188,4
1396124827,1770368188,1
1389728137,1770368188,1
1349400181,1770368188,2
1759858174,1770368188,30
1795265206,1770368188,15
1610133347,1770368188,2
1653461526,1770368188,4
1151918573,1770368188,1
1445501141,1770368188,2
1405958258,1770368188,1
1270946450,1770368188,1
1619232845,1770368188,2
1483299455,1770368188,1
1531245360,1770368188,8
1649886663,1770368188,1
1543164824,1770368188,3
1710766348,1770368188,5
1570117008,1770368188,1
1540638491,1770368188,13
1452645744,1770368188,1
1505034921,1770368188,11
1228213682,1770368188,1
1893319358,1770368188,1
1580738242,1770368188,6
1730025357,1770368188,1
1868305497,1770368188,2
1836031285,1770368188,1
1168822733,1770368188,1
1265355020,1770368188,1
1409521802,1770368188,1
1232052560,1770368188,2
1277769680,1770368188,1
1583248917,1770368188,1
1799384398,1770368188,68
1274452385,1770368188,1
1436510272,1770368188,1
1628553850,1770368188,1
1896954789,1770368188,2
1754914557,1770368188,2
1757582922,1770368188,1
1746291018,1770368188,1
1796735800,1770368188,1
1527591032,1770368188,1
1684266592,1770368188,2
1408548985,1770368188,4
1784497505,1770368188,2
1784668808,1770368188,4
1492508129,1770368188,1
1471073101,1770368188,3
1617013656,1770368188,2
1268172099,1770368188,3
1750557911,1770368188,7
1347756517,1770368188,4
1484471145,1770368188,1
1606327889,1770368188,1
1155714507,1770368188,1
1779486317,1770368188,1
1283479526,1770368188,1
1455227024,1770368188,11
1761594864,1770368188,5
1602768415,1770368188,1
1385221185,1770368188,2
1695367639,1770368188,1
1334204098,1770368188,1
1435982362,1770368188,1
1179270258,1770368188,1
1451350009,1770368188,8
1386149210,1770368188,1
1667470730,1770368188,12
1574215399,1770368188,1
1159318550,1770368188,1
1615632690,1770368188,1
1548471475,1770368188,2
1736320250,1770368188,1
1414255764,1770368188,1
1724259891,1770368188,1
1606314486,1770368188,1
1870934558,1770368188,1
1685658993,1770368188,1
1242599517,1770368188,1
1519046701,1770368188,1
1480659624,1770368188,2
1803908638,1770368188,1
1751351553,1770368188,4
1152339833,1770368188,1
1560118820,1770368188,1
1203251782,1770368188,1
1155198469,1770368188,1
1876989536,1770368188,1
1289680855,1770368188,1
1949112918,1770368188,1
1781115595,1770368188,1
1819053659,1770368188,1
1717634391,1770368188,1
1420697550,1770368188,1
1641826716,1770368188,1
1530205157,1770368188,1
1225790696,1770368188,1
1362500827,1770368188,1
1263639526,1770368188,1
1390707347,1770368188,1
1703795899,1770368188,3
1202024582,1770368188,2
1271203320,1770368188,2
1743069732,1770368188,13
1851441463,1770368188,5
1445739044,1770368188,2
1674708431,1770368188,32
